7
1 : 2 3 4 5 6 7 
2 : 1 3 4 5 6 7 
3 : 1 2 4 5 6 7 
4 : 1 2 3 5 6 7 
5 : 1 2 3 4 6 7 
6 : 1 2 3 4 5 7 
7 : 1 2 3 4 5 6 
8
1 : 2 3 4 5 6 7 
2 : 1 3 4 5 6 8 
3 : 1 2 4 5 7 8 
4 : 1 2 3 6 7 8 
5 : 1 2 3 6 7 8 
6 : 1 2 4 5 7 8 
7 : 1 3 4 5 6 8 
8 : 2 3 4 5 6 7 
9
1 : 2 3 4 5 6 7 
2 : 1 3 4 5 6 7 
3 : 1 2 4 5 8 9 
4 : 1 2 3 6 8 9 
5 : 1 2 3 7 8 9 
6 : 1 2 4 7 8 9 
7 : 1 2 5 6 8 9 
8 : 3 4 5 6 7 9 
9 : 3 4 5 6 7 8 
9
1 : 2 3 4 5 6 7 
2 : 1 3 4 5 6 8 
3 : 1 2 4 5 6 9 
4 : 1 2 3 7 8 9 
5 : 1 2 3 7 8 9 
6 : 1 2 3 7 8 9 
7 : 1 4 5 6 8 9 
8 : 2 4 5 6 7 9 
9 : 3 4 5 6 7 8 
9
1 : 2 3 4 5 6 7 
2 : 1 3 4 5 6 8 
3 : 1 2 4 5 7 9 
4 : 1 2 3 6 8 9 
5 : 1 2 3 7 8 9 
6 : 1 2 4 7 8 9 
7 : 1 3 5 6 8 9 
8 : 2 4 5 6 7 9 
9 : 3 4 5 6 7 8 
9
1 : 2 3 4 5 6 7 
2 : 1 3 4 5 8 9 
3 : 1 2 6 7 8 9 
4 : 1 2 6 7 8 9 
5 : 1 2 6 7 8 9 
6 : 1 3 4 5 8 9 
7 : 1 3 4 5 8 9 
8 : 2 3 4 5 6 7 
9 : 2 3 4 5 6 7 
10
1 : 2 3 4 5 6 7 
2 : 1 3 4 5 6 7 
3 : 1 2 4 5 6 7 
4 : 1 2 3 8 9 10 
5 : 1 2 3 8 9 10 
6 : 1 2 3 8 9 10 
7 : 1 2 3 8 9 10 
8 : 4 5 6 7 9 10 
9 : 4 5 6 7 8 10 
10 : 4 5 6 7 8 9 
10
1 : 2 3 4 5 6 7 
2 : 1 3 4 5 6 7 
3 : 1 2 4 5 6 8 
4 : 1 2 3 7 9 10 
5 : 1 2 3 8 9 10 
6 : 1 2 3 8 9 10 
7 : 1 2 4 8 9 10 
8 : 3 5 6 7 9 10 
9 : 4 5 6 7 8 10 
10 : 4 5 6 7 8 9 
10
1 : 2 3 4 5 6 7 
2 : 1 3 4 5 6 7 
3 : 1 2 4 5 8 9 
4 : 1 2 3 5 8 10 
5 : 1 2 3 4 9 10 
6 : 1 2 7 8 9 10 
7 : 1 2 6 8 9 10 
8 : 3 4 6 7 9 10 
9 : 3 5 6 7 8 10 
10 : 4 5 6 7 8 9 
10
1 : 2 3 4 5 6 7 
2 : 1 3 4 5 6 7 
3 : 1 2 4 5 8 9 
4 : 1 2 3 6 8 10 
5 : 1 2 3 7 9 10 
6 : 1 2 4 8 9 10 
7 : 1 2 5 8 9 10 
8 : 3 4 6 7 9 10 
9 : 3 5 6 7 8 10 
10 : 4 5 6 7 8 9 
10
1 : 2 3 4 5 6 7 
2 : 1 3 4 5 6 7 
3 : 1 2 4 5 8 9 
4 : 1 2 3 8 9 10 
5 : 1 2 3 8 9 10 
6 : 1 2 7 8 9 10 
7 : 1 2 6 8 9 10 
8 : 3 4 5 6 7 10 
9 : 3 4 5 6 7 10 
10 : 4 5 6 7 8 9 
10
1 : 2 3 4 5 6 7 
2 : 1 3 4 5 6 8 
3 : 1 2 4 5 6 9 
4 : 1 2 3 7 8 10 
5 : 1 2 3 7 9 10 
6 : 1 2 3 8 9 10 
7 : 1 4 5 8 9 10 
8 : 2 4 6 7 9 10 
9 : 3 5 6 7 8 10 
10 : 4 5 6 7 8 9 
10
1 : 2 3 4 5 6 7 
2 : 1 3 4 5 6 8 
3 : 1 2 4 5 7 9 
4 : 1 2 3 5 8 10 
5 : 1 2 3 4 9 10 
6 : 1 2 7 8 9 10 
7 : 1 3 6 8 9 10 
8 : 2 4 6 7 9 10 
9 : 3 5 6 7 8 10 
10 : 4 5 6 7 8 9 
10
1 : 2 3 4 5 6 7 
2 : 1 3 4 5 6 8 
3 : 1 2 4 5 7 9 
4 : 1 2 3 6 8 10 
5 : 1 2 3 7 9 10 
6 : 1 2 4 8 9 10 
7 : 1 3 5 8 9 10 
8 : 2 4 6 7 9 10 
9 : 3 5 6 7 8 10 
10 : 4 5 6 7 8 9 
10
1 : 2 3 4 5 6 7 
2 : 1 3 4 5 6 8 
3 : 1 2 4 5 7 9 
4 : 1 2 3 6 8 10 
5 : 1 2 3 8 9 10 
6 : 1 2 4 7 9 10 
7 : 1 3 6 8 9 10 
8 : 2 4 5 7 9 10 
9 : 3 5 6 7 8 10 
10 : 4 5 6 7 8 9 
10
1 : 2 3 4 5 6 7 
2 : 1 3 4 5 6 8 
3 : 1 2 4 5 7 9 
4 : 1 2 3 6 9 10 
5 : 1 2 3 7 8 10 
6 : 1 2 4 8 9 10 
7 : 1 3 5 8 9 10 
8 : 2 5 6 7 9 10 
9 : 3 4 6 7 8 10 
10 : 4 5 6 7 8 9 
10
1 : 2 3 4 5 6 7 
2 : 1 3 4 5 6 8 
3 : 1 2 4 5 7 9 
4 : 1 2 3 6 9 10 
5 : 1 2 3 8 9 10 
6 : 1 2 4 7 8 10 
7 : 1 3 6 8 9 10 
8 : 2 5 6 7 9 10 
9 : 3 4 5 7 8 10 
10 : 4 5 6 7 8 9 
10
1 : 2 3 4 5 6 7 
2 : 1 3 4 5 6 8 
3 : 1 2 4 5 7 9 
4 : 1 2 3 8 9 10 
5 : 1 2 3 8 9 10 
6 : 1 2 7 8 9 10 
7 : 1 3 6 8 9 10 
8 : 2 4 5 6 7 10 
9 : 3 4 5 6 7 10 
10 : 4 5 6 7 8 9 
10
1 : 2 3 4 5 6 7 
2 : 1 3 4 5 6 8 
3 : 1 2 4 5 9 10 
4 : 1 2 3 6 9 10 
5 : 1 2 3 7 8 9 
6 : 1 2 4 7 8 10 
7 : 1 5 6 8 9 10 
8 : 2 5 6 7 9 10 
9 : 3 4 5 7 8 10 
10 : 3 4 6 7 8 9 
10
1 : 2 3 4 5 6 7 
2 : 1 3 4 5 6 8 
3 : 1 2 4 5 9 10 
4 : 1 2 3 7 8 9 
5 : 1 2 3 7 8 10 
6 : 1 2 7 8 9 10 
7 : 1 4 5 6 9 10 
8 : 2 4 5 6 9 10 
9 : 3 4 6 7 8 10 
10 : 3 5 6 7 8 9 
10
1 : 2 3 4 5 6 7 
2 : 1 3 4 5 6 8 
3 : 1 2 4 5 9 10 
4 : 1 2 3 7 8 9 
5 : 1 2 3 7 9 10 
6 : 1 2 7 8 9 10 
7 : 1 4 5 6 8 10 
8 : 2 4 6 7 9 10 
9 : 3 4 5 6 8 10 
10 : 3 5 6 7 8 9 
10
1 : 2 3 4 5 6 7 
2 : 1 3 4 5 6 8 
3 : 1 2 4 7 9 10 
4 : 1 2 3 8 9 10 
5 : 1 2 6 7 9 10 
6 : 1 2 5 8 9 10 
7 : 1 3 5 8 9 10 
8 : 2 4 6 7 9 10 
9 : 3 4 5 6 7 8 
10 : 3 4 5 6 7 8 
10
1 : 2 3 4 5 6 7 
2 : 1 3 4 5 6 8 
3 : 1 2 4 7 9 10 
4 : 1 2 3 8 9 10 
5 : 1 2 7 8 9 10 
6 : 1 2 7 8 9 10 
7 : 1 3 5 6 9 10 
8 : 2 4 5 6 9 10 
9 : 3 4 5 6 7 8 
10 : 3 4 5 6 7 8 
10
1 : 2 3 4 5 6 7 
2 : 1 3 4 5 6 8 
3 : 1 2 7 8 9 10 
4 : 1 2 7 8 9 10 
5 : 1 2 7 8 9 10 
6 : 1 2 7 8 9 10 
7 : 1 3 4 5 6 9 
8 : 2 3 4 5 6 10 
9 : 3 4 5 6 7 10 
10 : 3 4 5 6 8 9 
10
1 : 2 3 4 5 6 7 
2 : 1 3 4 5 8 9 
3 : 1 2 4 6 8 10 
